player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jeremy Lamb,lambje01,2022,RS,SAC,65,31,4.855040163491886,-.7737182445202122,4.081321918971673,17.98857003070742,7.814774611393233,25.80334464210065,7.901251357820111,1.021554796219068,8.922806154039179,.1822050355787121,.1822050355787121,0,5.589155490470649,.744426703931133,6.333582194401782,-1.305973610887832
Jeremy Lamb,lambje01,2022,RS,IND,1288,613,1.606038250678421,-1.423655907904759,.1823823427736613,2.446378489092951,.2954714494850073,2.741849938577959,1.882498591685663,-1.124318624022989,.7581799676626741,1.093173075538609,1.093173075538609,0,1.977804199794486,-1.47846860601556,.4993355937789254,-.3658249636307604
Jock Landale,landajo01,2022,RS,SAS,798,366,-.2385161976111821,-2.888568560743808,-3.12708475835499,-.8168154880029534,-.9036697790243554,-1.720485267027309,-.384152205301831,-2.620888324098172,-3.005040529400003,-.047906079645486,-.047906079645486,0,.0627857190793602,-3.232783816366539,-3.169998097287178,.590364438495799
Romeo Langford,langfro01,2022,RS,BOS,1497,728,-1.173943873456924,.4269151181449004,-.7470287553120234,-3.019373014978855,.9826296946224979,-2.036743320356357,-1.641324079620843,.5217540498951391,-1.119570029725704,.6021638733481407,.6021638733481407,0,-1.947699285591446,-.1108330934163653,-2.058532379007811,-.5638949633147997
Zach LaVine,lavinza01,2022,RS,CHI,3378,1624,2.992957698138388,-2.100035904296594,.8929217938417944,1.789860197738124,-1.582067389406234,.2077928083318901,2.830459326134778,-2.106811679322287,.7236476468124913,2.884166989913288,2.884166989913288,0,2.257252095510333,-2.574702958129705,-.3174508626193715,.209042403316176
Jake Layman,laymaja01,2022,RS,MIN,368,169,-4.227655530342025,-.5682591360218731,-4.795914666363898,-5.111986238567288,-4.281853979463685,-9.393840218030974,-4.691220100060161,-1.376708264528151,-6.067928364588312,-.28695464014421,-.28695464014421,0,-2.717183644199588,-2.49620442640632,-5.213388070605908,.3037746157735631
Damion Lee,leeda03,2022,RS,GSW,1934,934,-1.914960513273465,-.2780354328968287,-2.192995946170293,-3.008032408133916,-2.180179942688922,-5.188212350822838,-2.277983379467573,-.7622252017789422,-3.040208581246516,-.1371812566483461,-.1371812566483461,0,-2.292706194212986,-.3738469822458664,-2.666553176458853,-.8022018491255219
Saben Lee,leesa01,2022,RS,DET,851,407,-1.781004293904236,3.272366258054292,1.491361964150056,-2.964464450005782,.3738439578170025,-2.59062049218878,-2.040387045161757,2.948329712009603,.9079426668478456,.7612083558052281,.7612083558052281,0,-2.326842812618833,2.714374083140139,.3875312705213059,.2144873708689292
Alex Len,lenal01,2022,RS,SAC,1196,557,-4.446139772511737,-.705327147251876,-5.151466919763613,-1.376939549765151,-1.118591150038462,-2.495530699803613,-4.064957142244231,-.7283881083274503,-4.793345250571681,-.5836603110050254,-.5836603110050254,0,-4.368470496172737,-1.010073471412372,-5.378543967585109,.5124158186744061
Caris LeVert,leverca01,2022,RS,CLE,194,95,-1.500546888432479,.3276516670627631,-1.172895221369716,-6.663934056163755,-1.30978954822393,-7.973723604387685,-2.659947041819151,-.0246819914336185,-2.684629033252769,.0031779423787667,.0031779423787667,0,-3.211655371575695,.3580959317485348,-2.85355943982716,.2986922289287072
